kanton,kanton_id,kanton_code,x,y
Valais,Valais_1_1,VS,7.84962011600004,45.93971206200011
Valais,Valais_1_1,VS,7.848388712000116,45.93807566300008
Valais,Valais_1_1,VS,7.845288127000089,45.92779205300006
Valais,Valais_1_1,VS,7.8461149490001105,45.92257273300005
Valais,Valais_1_1,VS,7.843737833000148,45.919213766000055
Valais,Valais_1_1,VS,7.831232137000143,45.914459534000045
Valais,Valais_1_1,VS,7.8254443760000925,45.914666239
Valais,Valais_1_1,VS,7.807564331000037,45.91849029600006
Valais,Valais_1_1,VS,7.780072469000061,45.918128561000046
Valais,Valais_1_1,VS,7.732013387000109,45.93037587500008
Valais,Valais_1_1,VS,7.72219486500012,45.92960072800007
Valais,Valais_1_1,VS,7.714650105000089,45.927120259999995
Valais,Valais_1_1,VS,7.706278523000009,45.9257249970001
Valais,Valais_1_1,VS,7.693979533000061,45.92867055300012
Valais,Valais_1_1,VS,7.692532593000067,45.93120269800001
Valais,Valais_1_1,VS,7.673722371000053,45.9503229780001
Valais,Valais_1_1,VS,7.6587362060001,45.96003814700005
Valais,Valais_1_1,VS,7.643026571000121,45.96634267200004
Valais,Valais_1_1,VS,7.541120646000138,45.98411936500007
Valais,Valais_1_1,VS,7.524377482000091,45.97807322300004
Valais,Valais_1_1,VS,7.514662312000041,45.96670440700005
Valais,Valais_1_1,VS,7.503706909000073,45.95673085500003
Valais,Valais_1_1,VS,7.482726278000058,45.95487050400003
Valais,Valais_1_1,VS,7.452960652000087,45.94587880500008
Valais,Valais_1_1,VS,7.393842814000038,45.915699768000096
Valais,Valais_1_1,VS,7.361803426000108,45.90784495100006
Valais,Valais_1_1,VS,7.286665893000105,45.91342600500006
Valais,Valais_1_1,VS,7.273540079000043,45.91027374300002
Valais,Valais_1_1,VS,7.245428100000083,45.89812978200011
Valais,Valais_1_1,VS,7.183726440000044,45.880456442000096
Valais,Valais_1_1,VS,7.153547404000022,45.87652903300004
Valais,Valais_1_1,VS,7.120887899000138,45.87611562100004
Valais,Valais_1_1,VS,7.090192097000113,45.88050811800012
Valais,Valais_1_1,VS,7.066937703000093,45.89022328800006
Valais,Valais_1_1,VS,7.022082560000115,45.92525990899999
Valais,Valais_1_1,VS,7.015157918000114,45.93332143100007
