altersgruppe,region,datum,anzahl,summe,population
40 - 49,GR,2020-03-16,25,47,26075
40 - 49,JU,2020-03-16,5,7,8992
40 - 49,LU,2020-03-16,19,26,55769
40 - 49,NE,2020-03-16,28,45,23956
40 - 49,NW,2020-03-16,7,8,5613
40 - 49,OW,2020-03-16,2,3,5024
40 - 49,SG,2020-03-16,28,37,66764
40 - 49,SH,2020-03-16,1,1,10746
40 - 49,SO,2020-03-16,14,19,35972
40 - 49,SZ,2020-03-16,10,21,22731
40 - 49,TG,2020-03-16,9,13,37213
40 - 49,TI,2020-03-16,113,185,48290
40 - 49,UR,2020-03-16,2,2,4684
40 - 49,VD,2020-03-16,232,329,118412
40 - 49,VS,2020-03-16,49,63,46165
40 - 49,ZG,2020-03-16,3,6,19455
40 - 49,ZH,2020-03-16,117,162,232249
50 - 59,AG,2020-03-16,49,63,107532
50 - 59,AI,2020-03-16,1,3,2484
50 - 59,AR,2020-03-16,5,7,8616
50 - 59,BE,2020-03-16,86,119,155465
50 - 59,BL,2020-03-16,61,83,45701
50 - 59,BS,2020-03-16,62,100,26847
50 - 59,FR,2020-03-16,33,39,48825
50 - 59,GE,2020-03-16,170,238,72478
50 - 59,GL,2020-03-16,6,7,6163
50 - 59,GR,2020-03-16,50,65,31774
50 - 59,JU,2020-03-16,12,19,10842
50 - 59,LU,2020-03-16,42,52,62118
50 - 59,NE,2020-03-16,19,31,25764
50 - 59,NW,2020-03-16,10,16,7273
50 - 59,OW,2020-03-16,3,5,6121
50 - 59,SG,2020-03-16,30,38,76399
50 - 59,SH,2020-03-16,13,13,12544
50 - 59,SO,2020-03-16,17,19,43561
50 - 59,SZ,2020-03-16,14,20,27140
50 - 59,TG,2020-03-16,16,16,44654
50 - 59,TI,2020-03-16,175,263,58508
50 - 59,UR,2020-03-16,3,3,5527
50 - 59,VD,2020-03-16,273,383,115937
50 - 59,VS,2020-03-16,97,117,53016
50 - 59,ZG,2020-03-16,9,14,21071
50 - 59,ZH,2020-03-16,186,258,223652
60 - 69,AG,2020-03-16,25,32,83686
60 - 69,AI,2020-03-16,2,2,2025
60 - 69,AR,2020-03-16,2,4,7372
60 - 69,BE,2020-03-16,49,65,129560
60 - 69,BL,2020-03-16,25,41,36436
60 - 69,BS,2020-03-16,27,45,21416
60 - 69,FR,2020-03-16,20,28,35229
60 - 69,GE,2020-03-16,93,132,48922
60 - 69,GL,2020-03-16,3,5,5302
60 - 69,GR,2020-03-16,41,56,26969
60 - 69,JU,2020-03-16,7,10,9320
60 - 69,LU,2020-03-16,21,23,48108
60 - 69,NE,2020-03-16,8,15,19209
60 - 69,NW,2020-03-16,1,2,6047
60 - 69,OW,2020-03-16,0,0,4946
60 - 69,SG,2020-03-16,24,27,60389
60 - 69,SH,2020-03-16,5,5,10864
60 - 69,SO,2020-03-16,14,17,36105
60 - 69,SZ,2020-03-16,11,13,20444
60 - 69,TG,2020-03-16,8,10,35251
60 - 69,TI,2020-03-16,110,172,43476
60 - 69,UR,2020-03-16,1,1,4778
60 - 69,VD,2020-03-16,216,300,80347
60 - 69,VS,2020-03-16,60,70,42899
60 - 69,ZG,2020-03-16,7,7,14649
60 - 69,ZH,2020-03-16,124,153,157468
70 - 79,AG,2020-03-16,11,12,58426
70 - 79,AI,2020-03-16,1,1,1433
70 - 79,AR,2020-03-16,4,6,5050
70 - 79,BE,2020-03-16,26,31,102884
70 - 79,BL,2020-03-16,24,34,29538
70 - 79,BS,2020-03-16,14,37,16101
70 - 79,FR,2020-03-16,18,24,25069
70 - 79,GE,2020-03-16,71,97,36705
70 - 79,GL,2020-03-16,1,2,3795
70 - 79,GR,2020-03-16,24,33,20461
70 - 79,JU,2020-03-16,4,7,7250
70 - 79,LU,2020-03-16,9,12,33585
70 - 79,NE,2020-03-16,10,18,15527
70 - 79,NW,2020-03-16,3,3,4461
70 - 79,OW,2020-03-16,2,3,3504
70 - 79,SG,2020-03-16,14,24,44078
70 - 79,SH,2020-03-16,2,3,8053
70 - 79,SO,2020-03-16,9,11,25255
70 - 79,SZ,2020-03-16,3,3,13712
70 - 79,TG,2020-03-16,8,11,23637
70 - 79,TI,2020-03-16,116,181,36178
70 - 79,UR,2020-03-16,6,6,3595
70 - 79,VD,2020-03-16,172,254,62222
70 - 79,VS,2020-03-16,50,64,33457
70 - 79,ZG,2020-03-16,3,3,10312
70 - 79,ZH,2020-03-16,59,79,120161
80+,AG,2020-03-16,16,18,33478
80+,AI,2020-03-16,0,0,977
80+,AR,2020-03-16,4,4,3082
80+,BE,2020-03-16,14,23,63650
80+,BL,2020-03-16,15,20,20175
80+,BS,2020-03-16,31,43,13129
80+,FR,2020-03-16,24,26,13531
80+,GE,2020-03-16,70,98,26509
80+,GL,2020-03-16,0,0,2322
80+,GR,2020-03-16,21,28,12271
80+,JU,2020-03-16,4,7,4459
80+,LU,2020-03-16,5,9,22055
80+,NE,2020-03-16,22,30,10363
80+,NW,2020-03-16,2,2,2365
80+,OW,2020-03-16,0,1,1994
80+,SG,2020-03-16,11,13,26720
80+,SH,2020-03-16,1,1,5401
80+,SO,2020-03-16,5,6,15637
80+,SZ,2020-03-16,4,6,7945
80+,TG,2020-03-16,0,3,13791
80+,TI,2020-03-16,100,154,26276
80+,UR,2020-03-16,0,0,2127
80+,VD,2020-03-16,153,210,39500
80+,VS,2020-03-16,40,51,18921
80+,ZG,2020-03-16,0,0,6309
80+,ZH,2020-03-16,56,67,79000
Unbekannt,AG,2020-03-16,0,0,NA
Unbekannt,AI,2020-03-16,0,0,NA
Unbekannt,AR,2020-03-16,0,0,NA
Unbekannt,BE,2020-03-16,0,0,NA
Unbekannt,BL,2020-03-16,1,2,NA
Unbekannt,BS,2020-03-16,0,0,NA
Unbekannt,FR,2020-03-16,0,0,NA
Unbekannt,GE,2020-03-16,2,2,NA
Unbekannt,GL,2020-03-16,0,0,NA
Unbekannt,GR,2020-03-16,1,1,NA
Unbekannt,JU,2020-03-16,0,0,NA
Unbekannt,LU,2020-03-16,1,2,NA
Unbekannt,NE,2020-03-16,0,0,NA
Unbekannt,NW,2020-03-16,0,0,NA
Unbekannt,OW,2020-03-16,0,0,NA
Unbekannt,SG,2020-03-16,2,2,NA
Unbekannt,SH,2020-03-16,0,0,NA
Unbekannt,SO,2020-03-16,1,2,NA
Unbekannt,SZ,2020-03-16,0,0,NA
Unbekannt,TG,2020-03-16,2,2,NA
Unbekannt,TI,2020-03-16,2,2,NA
Unbekannt,UR,2020-03-16,0,0,NA
Unbekannt,VD,2020-03-16,1,1,NA
Unbekannt,VS,2020-03-16,0,0,NA
Unbekannt,ZG,2020-03-16,0,0,NA
Unbekannt,ZH,2020-03-16,6,6,NA
0 - 9,AG,2020-03-23,1,4,73435
0 - 9,AI,2020-03-23,0,0,1751
0 - 9,AR,2020-03-23,0,0,6002
0 - 9,BE,2020-03-23,1,6,101906
0 - 9,BL,2020-03-23,0,1,27883
0 - 9,BS,2020-03-23,1,2,18510
0 - 9,FR,2020-03-23,1,2,36132
0 - 9,GE,2020-03-23,2,4,53474
0 - 9,GL,2020-03-23,0,0,4062
0 - 9,GR,2020-03-23,0,3,17618
0 - 9,JU,2020-03-23,0,2,7306
0 - 9,LU,2020-03-23,0,0,43735
0 - 9,NE,2020-03-23,0,1,17264
0 - 9,NW,2020-03-23,0,0,3914
0 - 9,OW,2020-03-23,0,0,3825
0 - 9,SG,2020-03-23,0,0,54040
0 - 9,SH,2020-03-23,0,0,8050
0 - 9,SO,2020-03-23,0,0,27596
0 - 9,SZ,2020-03-23,0,0,16038
0 - 9,TG,2020-03-23,2,2,30136
0 - 9,TI,2020-03-23,1,10,28476
0 - 9,UR,2020-03-23,0,0,3614
0 - 9,VD,2020-03-23,2,9,87915
0 - 9,VS,2020-03-23,0,2,33780
0 - 9,ZG,2020-03-23,0,0,13311
0 - 9,ZH,2020-03-23,5,13,164131
10 - 19,AG,2020-03-23,11,19,69526
10 - 19,AI,2020-03-23,0,0,1666
10 - 19,AR,2020-03-23,2,3,5311
10 - 19,BE,2020-03-23,11,30,97838
10 - 19,BL,2020-03-23,7,16,28384
10 - 19,BS,2020-03-23,4,14,15827
10 - 19,FR,2020-03-23,2,8,36160
10 - 19,GE,2020-03-23,20,50,53904
10 - 19,GL,2020-03-23,0,7,3827
10 - 19,GR,2020-03-23,4,12,17630
10 - 19,JU,2020-03-23,1,3,7854
10 - 19,LU,2020-03-23,3,10,41479
10 - 19,NE,2020-03-23,6,7,19083
10 - 19,NW,2020-03-23,3,4,3946
10 - 19,OW,2020-03-23,0,2,3787
10 - 19,SG,2020-03-23,3,15,52232
10 - 19,SH,2020-03-23,0,0,7781
10 - 19,SO,2020-03-23,7,9,26026
10 - 19,SZ,2020-03-23,0,3,15362
10 - 19,TG,2020-03-23,2,5,27865
10 - 19,TI,2020-03-23,12,34,33880
10 - 19,UR,2020-03-23,0,2,3752
10 - 19,VD,2020-03-23,30,64,91874
10 - 19,VS,2020-03-23,5,24,34634
10 - 19,ZG,2020-03-23,1,1,12888
10 - 19,ZH,2020-03-23,38,80,146478
20 - 29,AG,2020-03-23,31,65,79778
20 - 29,AI,2020-03-23,1,3,2010
20 - 29,AR,2020-03-23,3,3,5879
20 - 29,BE,2020-03-23,49,122,115407
20 - 29,BL,2020-03-23,26,64,30005
20 - 29,BS,2020-03-23,31,107,23124
20 - 29,FR,2020-03-23,27,62,42907
20 - 29,GE,2020-03-23,126,260,64139
20 - 29,GL,2020-03-23,0,6,4698
20 - 29,GR,2020-03-23,29,63,22458
20 - 29,JU,2020-03-23,9,10,8949
20 - 29,LU,2020-03-23,20,45,52323
20 - 29,NE,2020-03-23,8,28,21841
20 - 29,NW,2020-03-23,4,7,4633
20 - 29,OW,2020-03-23,4,10,4199
20 - 29,SG,2020-03-23,26,56,64970
20 - 29,SH,2020-03-23,1,6,9350
20 - 29,SO,2020-03-23,9,19,31541
20 - 29,SZ,2020-03-23,3,15,18080
20 - 29,TG,2020-03-23,5,12,32707
20 - 29,TI,2020-03-23,60,153,37316
20 - 29,UR,2020-03-23,3,5,4333
20 - 29,VD,2020-03-23,146,366,106260
20 - 29,VS,2020-03-23,51,125,42484
20 - 29,ZG,2020-03-23,5,11,13188
20 - 29,ZH,2020-03-23,106,232,185153
30 - 39,AG,2020-03-23,30,63,100400
30 - 39,AI,2020-03-23,0,0,2084
30 - 39,AR,2020-03-23,1,3,7181
30 - 39,BE,2020-03-23,38,121,143365
30 - 39,BL,2020-03-23,25,62,35909
30 - 39,BS,2020-03-23,55,139,33455
30 - 39,FR,2020-03-23,22,57,46547
30 - 39,GE,2020-03-23,189,387,76283
30 - 39,GL,2020-03-23,5,6,5693
30 - 39,GR,2020-03-23,22,66,26120
30 - 39,JU,2020-03-23,10,20,8826
30 - 39,LU,2020-03-23,22,56,61154
30 - 39,NE,2020-03-23,19,44,23159
30 - 39,NW,2020-03-23,1,9,5642
30 - 39,OW,2020-03-23,1,6,5035
30 - 39,SG,2020-03-23,25,54,73653
30 - 39,SH,2020-03-23,3,7,11206
30 - 39,SO,2020-03-23,8,21,38552
30 - 39,SZ,2020-03-23,8,18,22237
30 - 39,TG,2020-03-23,9,23,40710
30 - 39,TI,2020-03-23,79,213,39781
30 - 39,UR,2020-03-23,5,8,4637
30 - 39,VD,2020-03-23,172,456,120501
30 - 39,VS,2020-03-23,59,114,47853
30 - 39,ZG,2020-03-23,3,18,18604
30 - 39,ZH,2020-03-23,110,300,256370
40 - 49,AG,2020-03-23,46,96,96825
40 - 49,AI,2020-03-23,2,2,1930
40 - 49,AR,2020-03-23,1,8,7092
40 - 49,BE,2020-03-23,54,145,137398
40 - 49,BL,2020-03-23,37,95,38786
40 - 49,BS,2020-03-23,40,127,27627
40 - 49,FR,2020-03-23,36,73,45409
40 - 49,GE,2020-03-23,225,431,77034
40 - 49,GL,2020-03-23,2,5,5328
40 - 49,GR,2020-03-23,34,81,26075
40 - 49,JU,2020-03-23,10,17,8992
40 - 49,LU,2020-03-23,25,51,55769
40 - 49,NE,2020-03-23,25,70,23956
40 - 49,NW,2020-03-23,4,12,5613
40 - 49,OW,2020-03-23,2,5,5024
40 - 49,SG,2020-03-23,25,62,66764
40 - 49,SH,2020-03-23,0,1,10746
40 - 49,SO,2020-03-23,16,35,35972
40 - 49,SZ,2020-03-23,8,29,22731
40 - 49,TG,2020-03-23,6,19,37213
40 - 49,TI,2020-03-23,115,300,48290
40 - 49,UR,2020-03-23,5,7,4684
40 - 49,VD,2020-03-23,216,545,118412
40 - 49,VS,2020-03-23,70,133,46165
40 - 49,ZG,2020-03-23,6,12,19455
40 - 49,ZH,2020-03-23,135,297,232249
50 - 59,AG,2020-03-23,58,121,107532
50 - 59,AI,2020-03-23,2,5,2484
50 - 59,AR,2020-03-23,4,11,8616
50 - 59,BE,2020-03-23,71,190,155465
50 - 59,BL,2020-03-23,53,136,45701
50 - 59,BS,2020-03-23,55,155,26847
50 - 59,FR,2020-03-23,43,82,48825
50 - 59,GE,2020-03-23,227,465,72478
50 - 59,GL,2020-03-23,5,12,6163
50 - 59,GR,2020-03-23,41,106,31774
50 - 59,JU,2020-03-23,18,37,10842
50 - 59,LU,2020-03-23,48,100,62118
50 - 59,NE,2020-03-23,25,56,25764
50 - 59,NW,2020-03-23,10,26,7273
50 - 59,OW,2020-03-23,2,7,6121
50 - 59,SG,2020-03-23,46,84,76399
50 - 59,SH,2020-03-23,2,15,12544
50 - 59,SO,2020-03-23,23,42,43561
50 - 59,SZ,2020-03-23,10,30,27140
50 - 59,TG,2020-03-23,13,29,44654
50 - 59,TI,2020-03-23,179,442,58508
50 - 59,UR,2020-03-23,6,9,5527
50 - 59,VD,2020-03-23,311,694,115937
50 - 59,VS,2020-03-23,124,241,53016
50 - 59,ZG,2020-03-23,12,26,21071
50 - 59,ZH,2020-03-23,172,430,223652
60 - 69,AG,2020-03-23,53,85,83686
60 - 69,AI,2020-03-23,0,2,2025
60 - 69,AR,2020-03-23,5,9,7372
60 - 69,BE,2020-03-23,60,125,129560
60 - 69,BL,2020-03-23,23,64,36436
60 - 69,BS,2020-03-23,40,85,21416
60 - 69,FR,2020-03-23,37,65,35229
60 - 69,GE,2020-03-23,127,259,48922
60 - 69,GL,2020-03-23,5,10,5302
60 - 69,GR,2020-03-23,33,89,26969
60 - 69,JU,2020-03-23,9,19,9320
60 - 69,LU,2020-03-23,29,52,48108
60 - 69,NE,2020-03-23,18,33,19209
60 - 69,NW,2020-03-23,4,6,6047
60 - 69,OW,2020-03-23,3,3,4946
60 - 69,SG,2020-03-23,33,60,60389
60 - 69,SH,2020-03-23,4,9,10864
60 - 69,SO,2020-03-23,12,29,36105
60 - 69,SZ,2020-03-23,10,23,20444
60 - 69,TG,2020-03-23,9,19,35251
60 - 69,TI,2020-03-23,118,290,43476
60 - 69,UR,2020-03-23,4,5,4778
60 - 69,VD,2020-03-23,204,504,80347
60 - 69,VS,2020-03-23,68,138,42899
60 - 69,ZG,2020-03-23,7,14,14649
60 - 69,ZH,2020-03-23,102,255,157468
70 - 79,AG,2020-03-23,27,39,58426
70 - 79,AI,2020-03-23,0,1,1433
70 - 79,AR,2020-03-23,2,8,5050
70 - 79,BE,2020-03-23,45,76,102884
70 - 79,BL,2020-03-23,24,58,29538
70 - 79,BS,2020-03-23,29,66,16101
70 - 79,FR,2020-03-23,39,63,25069
70 - 79,GE,2020-03-23,103,200,36705
70 - 79,GL,2020-03-23,3,5,3795
70 - 79,GR,2020-03-23,18,51,20461
70 - 79,JU,2020-03-23,3,10,7250
70 - 79,LU,2020-03-23,19,31,33585
70 - 79,NE,2020-03-23,18,36,15527
70 - 79,NW,2020-03-23,1,4,4461
70 - 79,OW,2020-03-23,2,5,3504
70 - 79,SG,2020-03-23,8,32,44078
70 - 79,SH,2020-03-23,1,4,8053
70 - 79,SO,2020-03-23,14,25,25255
70 - 79,SZ,2020-03-23,4,7,13712
70 - 79,TG,2020-03-23,12,23,23637
70 - 79,TI,2020-03-23,129,310,36178
70 - 79,UR,2020-03-23,5,11,3595
70 - 79,VD,2020-03-23,140,394,62222
70 - 79,VS,2020-03-23,59,123,33457
70 - 79,ZG,2020-03-23,4,7,10312
70 - 79,ZH,2020-03-23,81,160,120161
80+,AG,2020-03-23,16,34,33478
80+,AI,2020-03-23,1,1,977
80+,AR,2020-03-23,2,6,3082
80+,BE,2020-03-23,29,52,63650
80+,BL,2020-03-23,41,61,20175
80+,BS,2020-03-23,25,68,13129
80+,FR,2020-03-23,34,60,13531
80+,GE,2020-03-23,142,240,26509
80+,GL,2020-03-23,1,1,2322
80+,GR,2020-03-23,26,54,12271
80+,JU,2020-03-23,9,16,4459
80+,LU,2020-03-23,13,22,22055
80+,NE,2020-03-23,25,55,10363
80+,NW,2020-03-23,3,5,2365
80+,OW,2020-03-23,0,1,1994
80+,SG,2020-03-23,18,31,26720
80+,SH,2020-03-23,0,1,5401
80+,SO,2020-03-23,7,13,15637
80+,SZ,2020-03-23,3,9,7945
80+,TG,2020-03-23,7,10,13791
80+,TI,2020-03-23,172,326,26276
80+,UR,2020-03-23,4,4,2127
80+,VD,2020-03-23,219,429,39500
80+,VS,2020-03-23,79,130,18921
80+,ZG,2020-03-23,0,0,6309
80+,ZH,2020-03-23,60,127,79000
Unbekannt,AG,2020-03-23,0,0,NA
Unbekannt,AI,2020-03-23,0,0,NA
Unbekannt,AR,2020-03-23,0,0,NA
Unbekannt,BE,2020-03-23,1,1,NA
Unbekannt,BL,2020-03-23,0,2,NA
Unbekannt,BS,2020-03-23,0,0,NA
Unbekannt,FR,2020-03-23,0,0,NA
Unbekannt,GE,2020-03-23,1,3,NA
Unbekannt,GL,2020-03-23,0,0,NA
Unbekannt,GR,2020-03-23,0,1,NA
Unbekannt,JU,2020-03-23,0,0,NA
Unbekannt,LU,2020-03-23,0,2,NA
Unbekannt,NE,2020-03-23,0,0,NA
Unbekannt,NW,2020-03-23,0,0,NA
Unbekannt,OW,2020-03-23,0,0,NA
Unbekannt,SG,2020-03-23,0,2,NA
Unbekannt,SH,2020-03-23,0,0,NA
Unbekannt,SO,2020-03-23,0,2,NA
Unbekannt,SZ,2020-03-23,0,0,NA
Unbekannt,TG,2020-03-23,0,2,NA
Unbekannt,TI,2020-03-23,0,2,NA
Unbekannt,UR,2020-03-23,0,0,NA
Unbekannt,VD,2020-03-23,1,2,NA
Unbekannt,VS,2020-03-23,0,0,NA
Unbekannt,ZG,2020-03-23,0,0,NA
Unbekannt,ZH,2020-03-23,2,8,NA
0 - 9,AG,2020-03-30,0,4,73435
0 - 9,AI,2020-03-30,0,0,1751
0 - 9,AR,2020-03-30,0,0,6002
0 - 9,BE,2020-03-30,0,6,101906
0 - 9,BL,2020-03-30,4,5,27883
0 - 9,BS,2020-03-30,1,3,18510
0 - 9,FR,2020-03-30,0,2,36132
0 - 9,GE,2020-03-30,9,13,53474
0 - 9,GL,2020-03-30,0,0,4062
0 - 9,GR,2020-03-30,0,3,17618
0 - 9,JU,2020-03-30,0,2,7306
0 - 9,LU,2020-03-30,0,0,43735
0 - 9,NE,2020-03-30,0,1,17264
0 - 9,NW,2020-03-30,0,0,3914
0 - 9,OW,2020-03-30,0,0,3825
0 - 9,SG,2020-03-30,1,1,54040
0 - 9,SH,2020-03-30,0,0,8050
0 - 9,SO,2020-03-30,0,0,27596
0 - 9,SZ,2020-03-30,0,0,16038
0 - 9,TG,2020-03-30,0,2,30136
0 - 9,TI,2020-03-30,1,11,28476
0 - 9,UR,2020-03-30,0,0,3614
0 - 9,VD,2020-03-30,1,10,87915
0 - 9,VS,2020-03-30,1,3,33780
0 - 9,ZG,2020-03-30,0,0,13311
0 - 9,ZH,2020-03-30,5,18,164131
10 - 19,AG,2020-03-30,6,25,69526
10 - 19,AI,2020-03-30,0,0,1666
10 - 19,AR,2020-03-30,1,4,5311
10 - 19,BE,2020-03-30,11,41,97838
10 - 19,BL,2020-03-30,4,20,28384
10 - 19,BS,2020-03-30,4,18,15827
10 - 19,FR,2020-03-30,3,11,36160
10 - 19,GE,2020-03-30,36,86,53904
10 - 19,GL,2020-03-30,0,7,3827
10 - 19,GR,2020-03-30,3,15,17630
10 - 19,JU,2020-03-30,1,4,7854
10 - 19,LU,2020-03-30,3,13,41479
10 - 19,NE,2020-03-30,2,9,19083
10 - 19,NW,2020-03-30,0,4,3946
10 - 19,OW,2020-03-30,0,2,3787
10 - 19,SG,2020-03-30,5,20,52232
10 - 19,SH,2020-03-30,1,1,7781
10 - 19,SO,2020-03-30,4,13,26026
10 - 19,SZ,2020-03-30,3,6,15362
10 - 19,TG,2020-03-30,1,6,27865
10 - 19,TI,2020-03-30,8,42,33880
10 - 19,UR,2020-03-30,3,5,3752
10 - 19,VD,2020-03-30,19,83,91874
10 - 19,VS,2020-03-30,4,28,34634
10 - 19,ZG,2020-03-30,1,2,12888
10 - 19,ZH,2020-03-30,34,114,146478
20 - 29,AG,2020-03-30,36,101,79778
20 - 29,AI,2020-03-30,0,3,2010
20 - 29,AR,2020-03-30,3,6,5879
20 - 29,BE,2020-03-30,39,161,115407
20 - 29,BL,2020-03-30,24,88,30005
20 - 29,BS,2020-03-30,31,138,23124
20 - 29,FR,2020-03-30,25,87,42907
20 - 29,GE,2020-03-30,165,425,64139
20 - 29,GL,2020-03-30,3,9,4698
20 - 29,GR,2020-03-30,18,81,22458
20 - 29,JU,2020-03-30,9,19,8949
20 - 29,LU,2020-03-30,17,62,52323
20 - 29,NE,2020-03-30,18,46,21841
20 - 29,NW,2020-03-30,2,9,4633
20 - 29,OW,2020-03-30,4,14,4199
20 - 29,SG,2020-03-30,25,81,64970
20 - 29,SH,2020-03-30,0,6,9350
20 - 29,SO,2020-03-30,11,30,31541
20 - 29,SZ,2020-03-30,9,24,18080
20 - 29,TG,2020-03-30,12,24,32707
20 - 29,TI,2020-03-30,37,190,37316
20 - 29,UR,2020-03-30,0,5,4333
20 - 29,VD,2020-03-30,109,475,106260
20 - 29,VS,2020-03-30,47,172,42484
20 - 29,ZG,2020-03-30,10,21,13188
20 - 29,ZH,2020-03-30,88,320,185153
30 - 39,AG,2020-03-30,31,94,100400
30 - 39,AI,2020-03-30,0,0,2084
30 - 39,AR,2020-03-30,1,4,7181
30 - 39,BE,2020-03-30,48,169,143365
30 - 39,BL,2020-03-30,17,79,35909
30 - 39,BS,2020-03-30,29,168,33455
30 - 39,FR,2020-03-30,32,89,46547
30 - 39,GE,2020-03-30,222,609,76283
30 - 39,GL,2020-03-30,1,7,5693
30 - 39,GR,2020-03-30,17,83,26120
30 - 39,JU,2020-03-30,1,21,8826
30 - 39,LU,2020-03-30,11,67,61154
30 - 39,NE,2020-03-30,10,54,23159
30 - 39,NW,2020-03-30,3,12,5642
30 - 39,OW,2020-03-30,5,11,5035
30 - 39,SG,2020-03-30,12,66,73653
30 - 39,SH,2020-03-30,0,7,11206
30 - 39,SO,2020-03-30,8,29,38552
30 - 39,SZ,2020-03-30,7,25,22237
30 - 39,TG,2020-03-30,6,29,40710
30 - 39,TI,2020-03-30,53,266,39781
30 - 39,UR,2020-03-30,2,10,4637
30 - 39,VD,2020-03-30,90,546,120501
30 - 39,VS,2020-03-30,44,158,47853
30 - 39,ZG,2020-03-30,0,18,18604
30 - 39,ZH,2020-03-30,86,386,256370
40 - 49,AG,2020-03-30,28,124,96825
40 - 49,AI,2020-03-30,1,3,1930
40 - 49,AR,2020-03-30,2,10,7092
40 - 49,BE,2020-03-30,48,193,137398
40 - 49,BL,2020-03-30,27,122,38786
40 - 49,BS,2020-03-30,26,153,27627
40 - 49,FR,2020-03-30,37,110,45409
40 - 49,GE,2020-03-30,294,725,77034
40 - 49,GL,2020-03-30,0,5,5328
40 - 49,GR,2020-03-30,18,99,26075
40 - 49,JU,2020-03-30,5,22,8992
40 - 49,LU,2020-03-30,22,73,55769
40 - 49,NE,2020-03-30,9,79,23956
40 - 49,NW,2020-03-30,4,16,5613
40 - 49,OW,2020-03-30,1,6,5024
40 - 49,SG,2020-03-30,22,84,66764
40 - 49,SH,2020-03-30,0,1,10746
40 - 49,SO,2020-03-30,11,46,35972
40 - 49,SZ,2020-03-30,8,37,22731
40 - 49,TG,2020-03-30,10,29,37213
40 - 49,TI,2020-03-30,59,359,48290
40 - 49,UR,2020-03-30,1,8,4684
40 - 49,VD,2020-03-30,138,683,118412
40 - 49,VS,2020-03-30,46,179,46165
40 - 49,ZG,2020-03-30,6,18,19455
40 - 49,ZH,2020-03-30,129,426,232249
50 - 59,AG,2020-03-30,68,189,107532
50 - 59,AI,2020-03-30,6,11,2484
50 - 59,AR,2020-03-30,6,17,8616
50 - 59,BE,2020-03-30,74,264,155465
50 - 59,BL,2020-03-30,33,169,45701
50 - 59,BS,2020-03-30,38,193,26847
50 - 59,FR,2020-03-30,32,114,48825
50 - 59,GE,2020-03-30,309,774,72478
50 - 59,GL,2020-03-30,2,14,6163
50 - 59,GR,2020-03-30,35,141,31774
50 - 59,JU,2020-03-30,5,42,10842
50 - 59,LU,2020-03-30,33,133,62118
50 - 59,NE,2020-03-30,26,82,25764
50 - 59,NW,2020-03-30,4,30,7273
50 - 59,OW,2020-03-30,3,10,6121
50 - 59,SG,2020-03-30,44,128,76399
50 - 59,SH,2020-03-30,2,17,12544
50 - 59,SO,2020-03-30,13,55,43561
50 - 59,SZ,2020-03-30,8,38,27140
50 - 59,TG,2020-03-30,21,50,44654
50 - 59,TI,2020-03-30,100,542,58508
50 - 59,UR,2020-03-30,2,11,5527
50 - 59,VD,2020-03-30,204,898,115937
50 - 59,VS,2020-03-30,68,309,53016
50 - 59,ZG,2020-03-30,7,33,21071
50 - 59,ZH,2020-03-30,124,554,223652
60 - 69,AG,2020-03-30,36,121,83686
60 - 69,AI,2020-03-30,0,2,2025
60 - 69,AR,2020-03-30,1,10,7372
60 - 69,BE,2020-03-30,44,169,129560
60 - 69,BL,2020-03-30,19,83,36436
60 - 69,BS,2020-03-30,18,103,21416
60 - 69,FR,2020-03-30,27,92,35229
60 - 69,GE,2020-03-30,129,388,48922
60 - 69,GL,2020-03-30,3,13,5302
60 - 69,GR,2020-03-30,15,104,26969
60 - 69,JU,2020-03-30,11,30,9320
60 - 69,LU,2020-03-30,8,60,48108
60 - 69,NE,2020-03-30,12,45,19209
60 - 69,NW,2020-03-30,2,8,6047
60 - 69,OW,2020-03-30,1,4,4946
60 - 69,SG,2020-03-30,20,80,60389
60 - 69,SH,2020-03-30,2,11,10864
60 - 69,SO,2020-03-30,8,37,36105
60 - 69,SZ,2020-03-30,4,27,20444
60 - 69,TG,2020-03-30,12,31,35251
60 - 69,TI,2020-03-30,50,340,43476
60 - 69,UR,2020-03-30,0,5,4778
60 - 69,VD,2020-03-30,110,614,80347
60 - 69,VS,2020-03-30,52,190,42899
60 - 69,ZG,2020-03-30,4,18,14649
60 - 69,ZH,2020-03-30,85,340,157468
70 - 79,AG,2020-03-30,17,56,58426
70 - 79,AI,2020-03-30,0,1,1433
70 - 79,AR,2020-03-30,2,10,5050
70 - 79,BE,2020-03-30,29,105,102884
70 - 79,BL,2020-03-30,8,66,29538
70 - 79,BS,2020-03-30,17,83,16101
70 - 79,FR,2020-03-30,33,96,25069
70 - 79,GE,2020-03-30,96,296,36705
70 - 79,GL,2020-03-30,0,5,3795
70 - 79,GR,2020-03-30,13,64,20461
70 - 79,JU,2020-03-30,3,13,7250
70 - 79,LU,2020-03-30,18,49,33585
70 - 79,NE,2020-03-30,11,47,15527
70 - 79,NW,2020-03-30,1,5,4461
70 - 79,OW,2020-03-30,0,5,3504
70 - 79,SG,2020-03-30,11,43,44078
70 - 79,SH,2020-03-30,2,6,8053
70 - 79,SO,2020-03-30,5,30,25255
70 - 79,SZ,2020-03-30,6,13,13712
70 - 79,TG,2020-03-30,10,33,23637
